TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
20 agosto 2023 23:12 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
24,24,100.0000,22,91.6666,2,8323,4584,55.0762

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,VALOR,CABAL,BIEN,PPN,SEMILLA,UNE,VOS,PHG,PODEMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2297,"Guatemala",1,"San José Del Golfo",4,190,400,39,4,15,18,7,35,53,12,7,3,193,16,0,209,0,209,5,400,186,193,209,209,,1,228a2622f88987df0ce827139c14a9f6906ef98987e17fa59aa4a23ab5c407b5,20/08/2023 22:02:59,ESCANER
2298,"Guatemala",1,"San José Del Golfo",4,190,400,47,3,15,21,7,36,67,14,8,4,222,7,0,229,0,229,--,400,171,222,229,229,Algún campo sin dato,1,16fa077b469a011741c2193308d79bcfa34bae8186d5d93d90fd5f90316396c1,20/08/2023 20:49:17,ESCANER
2299,"Guatemala",1,"San José Del Golfo",4,190,400,55,6,25,18,6,42,41,21,10,5,238,9,1,248,0,248,--,400,161,229,239,239,Sumas Asentadas sin cuadrar,1,08c7cdda25d118ba59db8c288aa37779c5f23a891e9db9fdbb76a660f2c4e0f7,20/08/2023 21:21:20,ESCANER
2300,"Guatemala",1,"San José Del Golfo",4,190,400,49,4,20,11,13,49,57,18,6,3,241,9,2,241,--,--,--,275,10,230,241,241,Sumas Asentadas sin cuadrar,1,c792c79be87e2cc00089b2173e3356edee365d4fa40f9b658842ec1eede55711,20/08/2023 20:45:42,ESCANER
2301,"Guatemala",1,"San José Del Golfo",4,190,400,42,7,22,15,11,59,59,20,14,1,250,10,1,261,0,261,--,400,139,250,261,261,Algún campo sin dato,1,4f089c8a9def89f68fa9658f73cc8ee8992be3512c15e7a240be2d2ef6f866bd,20/08/2023 21:35:45,ESCANER
2302,"Guatemala",1,"San José Del Golfo",4,190,400,50,5,15,12,10,47,67,10,14,1,231,18,3,252,147,399,1,400,147,231,252,399,,1,c1ca2b077fa57d4e2723965fb5be30ca2ff3e22729bc3cb76da9e7864b58c8da,20/08/2023 20:46:27,ESCANER
2303,"Guatemala",1,"San José Del Golfo",4,191,400,52,5,10,20,4,46,53,13,9,4,216,6,0,222,1,223,1,400,177,216,222,223,,1,a1479f5c1151930a77023a02296b29f1384ab15c7f375491b3a180606f473c19,20/08/2023 20:42:55,ESCANER
2304,"Guatemala",1,"San José Del Golfo",4,191,400,36,6,8,11,8,34,54,10,7,0,174,8,1,183,0,183,7,400,210,174,183,183,,1,82b2a94ee078f2078fdac42f80ccbef4c0b0b712d1b9adc71ee5d719bbfb411b,20/08/2023 20:53:45,ESCANER
2305,"Guatemala",1,"San José Del Golfo",4,191,400,47,8,17,12,6,37,49,14,10,0,200,6,4,210,0,210,--,400,190,200,210,210,Algún campo sin dato,1,da4fc7155f18a7ea6e8d47c152487c098ceed32fe8554321edc1744d145d1a45,20/08/2023 20:21:06,ESCANER
2306,"Guatemala",1,"San José Del Golfo",4,191,400,50,2,10,11,10,29,48,7,14,4,185,4,3,192,0,192,2,400,206,185,192,192,,1,7fc2b7cd7d01cf83957591a21af88a3079c81b34033f5f11f81c76e0feae05a7,20/08/2023 20:14:34,ESCANER
2307,"Guatemala",1,"San José Del Golfo",4,191,400,44,4,11,9,3,27,38,14,15,3,168,14,1,183,14,197,14,400,203,168,183,197,,1,00753089200e5c829bca75e262c2a92cc4ebfd6d4c8f1790c96105f6fe68f981,20/08/2023 20:03:01,ESCANER
2308,"Guatemala",1,"San José Del Golfo",4,191,400,44,2,5,15,8,29,41,11,13,2,170,15,3,188,0,188,--,400,212,170,188,188,Algún campo sin dato,1,cc418ba9359faccae4610b0d6b45d02f891691c373a5ef6e5645be2f1b47f532,20/08/2023 20:56:22,ESCANER
2309,"Guatemala",1,"San José Del Golfo",4,191,400,60,12,17,26,4,40,52,10,23,3,247,7,0,254,0,254,2,400,144,247,254,254,,1,5d7457b579c96da0b11927181ce53fa5f917b1642786b0084b12c18bf350a1d7,20/08/2023 20:41:24,ESCANER
2310,"Guatemala",1,"San José Del Golfo",4,191,400,46,10,16,21,8,48,54,14,16,2,235,1,1,237,--,237,--,400,163,235,237,237,Algún campo sin dato,1,b5f8fd5e374e0e8f3e242a5d2f11b03b839fae872b18c931847f7428edcc583a,20/08/2023 21:37:35,ESCANER
2311,"Guatemala",1,"San José Del Golfo",4,191,229,27,6,7,7,5,17,31,13,6,3,122,0,0,122,0,122,--,229,107,122,122,122,Algún campo sin dato,1,f09ed670d569794e72b291ef7330e381041870d17b70da758601121b4098adca,20/08/2023 20:18:47,ESCANER
2312,"Guatemala",1,"San José Del Golfo",4,191,229,18,0,6,8,3,26,15,11,5,0,92,4,1,97,0,97,--,229,132,92,97,97,Algún campo sin dato,1,e5dbf7c147f6436c63969be41a6e245050a9f29b851a796f583d7f3de7d54f66,20/08/2023 20:04:04,ESCANER
2313,"Guatemala",1,"San José Del Golfo",4,193,380,62,5,11,12,3,23,43,20,15,26,220,21,2,243,0,243,--,243,12,220,243,243,Algún campo sin dato,1,df5ed9db0f6a68b51341ce7860a94d7bdb4d6175eb7802145e8caab8c0da3efc,20/08/2023 20:42:11,ESCANER
2314,"Guatemala",1,"San José Del Golfo",4,193,380,63,3,7,3,3,45,49,15,18,31,237,14,0,223,0,223,--,302,53,237,251,251,Sumas Asentadas sin cuadrar,1,9834e5ed864377324a2e30aa3f2fd2695603d3da89938a9fff24c3353b9b241d,20/08/2023 20:57:11,ESCANER
2315,"Guatemala",1,"San José Del Golfo",4,193,380,63,4,7,8,4,24,58,16,23,27,213,17,1,231,18,295,--,295,43,234,252,270,Sumas Asentadas sin cuadrar,1,0b9023023fcdaf1be836cd3f42c43a5e0abed29ca43dd288cc78840a14a6a3ee,20/08/2023 21:24:28,ESCANER
2316,"Guatemala",1,"San José Del Golfo",4,193,380,44,1,11,12,4,29,51,20,19,3,194,7,1,202,0,202,--,252,63,194,202,202,Algún campo sin dato,1,47e0520c55fdbdb06c54c5e98de117b98c280f926930336c83251ed0848cac2c,20/08/2023 20:43:42,ESCANER
2320,"Guatemala",1,"San José Del Golfo",4,194,365,13,1,3,2,1,14,8,2,3,2,49,8,0,57,0,57,--,365,308,49,57,57,Algún campo sin dato,1,bd2b85e180a93a9b8313c19e3e5c135f6bd0416c49a1167e1617e273bf0fc5a0,20/08/2023 20:24:06,ESCANER
2317,"Guatemala",1,"San José Del Golfo",4,3857,380,46,7,10,5,6,29,57,16,22,50,248,10,2,260,0,260,--,382,122,248,260,260,Algún campo sin dato,1,89573ac3f0ca1ee5285a7ba60162c004972c871e3293f93e93758cc4805ec125,20/08/2023 21:22:54,ESCANER
2318,"Guatemala",1,"San José Del Golfo",4,3857,205,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Acta en Blanco,0,1522c4bc7dab41ffa696b691661d72a7d7d7a062e96c8baefdda16b9a723b3fc,20/08/2023 21:38:07,ESCANER
2319,"Guatemala",1,"San José Del Golfo",4,3857,205,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Acta en Blanco,0,41c8da416dfab836b44c67860ab9445961516b08a10bee5b8bddf666983726ca,20/08/2023 21:37:35,ESCANER
