TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
20 agosto 2023 23:12 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
29,29,100.0000,29,100.0000,0,11317,7096,62.7021

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,VIVA,UNE,VALOR,MLP,TODOS,PODEMOS,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12812,"Retalhuleu",11,"San Martín Zapotitlán",4,1747,400,79,112,2,22,0,0,1,0,3,219,22,1,242,0,242,--,400,158,219,242,242,Algún campo sin dato,1,3b043c243e6c1ff306ec6d13145f92721e0660dd625f7611aa8ffd9151e650d2,20/08/2023 21:00:36,ESCANER
12813,"Retalhuleu",11,"San Martín Zapotitlán",4,1747,400,63,98,0,23,2,1,2,1,5,195,19,4,218,1,219,--,400,181,195,218,219,Algún campo sin dato,1,743472f78a5f3ec5bc13ba0905ebc9cc9770046231b357ddb7c199f0ed6cdbbb,20/08/2023 20:57:02,ESCANER
12814,"Retalhuleu",11,"San Martín Zapotitlán",4,1747,400,111,98,1,23,4,1,2,1,5,246,16,1,263,0,263,--,400,137,246,263,263,Algún campo sin dato,1,1cf0b22c4f33e670ff5bc129b1dd1269b3ffa486f74d1c0693ecf056e583433e,20/08/2023 21:25:26,ESCANER
12815,"Retalhuleu",11,"San Martín Zapotitlán",4,1747,400,81,128,2,31,3,2,0,1,10,258,10,0,268,0,268,6,400,132,258,268,268,,1,84d6691414631ffeef31b90e2fae5ddb9ddb6f3256df94e221b91657339e8eee,20/08/2023 21:27:23,ESCANER
12816,"Retalhuleu",11,"San Martín Zapotitlán",4,1747,400,106,104,2,26,2,0,0,1,8,249,25,1,275,0,275,--,400,125,249,275,275,Algún campo sin dato,1,6250c8f1776fccbca6e32a1bb6bd8298d436310581ba637b990cdd9068cb5a96,20/08/2023 20:44:36,ESCANER
12817,"Retalhuleu",11,"San Martín Zapotitlán",4,1747,400,114,116,0,30,1,1,1,1,2,266,22,0,288,0,288,1,400,111,266,288,288,,1,44b1bfeca8e49e53ad3702e0d63a5b080320066aeb133cf7b76bcb59a8159033,20/08/2023 20:37:02,ESCANER
12818,"Retalhuleu",11,"San Martín Zapotitlán",4,1747,400,117,113,0,22,0,0,1,2,5,260,23,2,285,0,285,--,400,115,260,285,285,Algún campo sin dato,1,ed3e76c73f7b35607273b90ecbbd3ef81ba35c97bf35d35b332a022b663496f7,20/08/2023 22:31:25,ESCANER
12819,"Retalhuleu",11,"San Martín Zapotitlán",4,1747,400,109,123,2,44,3,2,1,0,2,286,12,1,299,1,300,0,400,100,286,299,300,,1,4200f8db6ac20d4cb1be7c1ad321e678adc34baa4c1e202a084b3422d714134f,20/08/2023 20:50:31,ESCANER
12820,"Retalhuleu",11,"San Martín Zapotitlán",4,1747,400,132,106,0,26,2,2,2,0,4,274,18,2,294,0,294,--,400,106,274,294,294,Algún campo sin dato,1,5b25335f9b87a95ce185f9ad7b95194632c4778131a2dfe38c5847d7c274fcaa,20/08/2023 20:54:30,ESCANER
12821,"Retalhuleu",11,"San Martín Zapotitlán",4,1748,400,128,110,2,38,2,0,0,0,2,282,7,1,290,0,290,--,400,110,282,290,290,Algún campo sin dato,1,10ccd2f16e6a05c941bc72102a4067fc04e8bedb9be308bbed933a8af28fd0e5,20/08/2023 20:26:04,ESCANER
